IMAGE_URL,TAGS,Confidence Scores
https://samples.clarifai.com/metro-north.jpg,train;railway;subway system;station;locomotive;transportation system;travel;commuter;platform;light;train station;blur;city;road;urban;traffic;street;public;tramway;business,0.9996053576469421;0.9992986917495728;0.9982579350471497;0.9980123043060303;0.9972606897354126;0.9969795942306519;0.9889706373214722;0.9809117317199707;0.9806644916534424;0.974198043346405;0.9688368439674377;0.9673061966896057;0.9615217447280884;0.9613925814628601;0.9603955149650574;0.9599961638450623;0.9475502967834473;0.9343544244766235;0.932101309299469;0.9294657707214355
https://images.pexels.com/photos/1183992/pexels-photo-1183992.jpeg?cs=srgb&dl=pexels-steve-johnson-1183992.jpg&fm=jpg,artistic;dirty;stain;acrylic;brush;sooty;art;messy;vintage;canvas;old;graffiti;retro;texture;abstract;rusty;wall;painting;scraping;paper,0.9985207915306091;0.9983267188072205;0.9979026317596436;0.9976892471313477;0.9969313144683838;0.996703565120697;0.9961679577827454;0.9960442781448364;0.9941434264183044;0.9939024448394775;0.9938178658485413;0.9937068819999695;0.9933562874794006;0.9930604696273804;0.9922296404838562;0.9900515675544739;0.9895561337471008;0.9893087148666382;0.9886455535888672;0.9861598610877991
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSe-KU9gGujB3I32512clZtG1QRSr-NcNtPI8OJkotDHg&s,woman;girl;beautiful;nature;illustration;sky;one;outdoors;dress;people;young;art;vector;snow;fairy;sun;adult;cold;summer;person,0.9697750806808472;0.9668031930923462;0.9656824469566345;0.9572604298591614;0.9525243043899536;0.950503408908844;0.9472321271896362;0.9360069036483765;0.9275243282318115;0.9233254194259644;0.9204597473144531;0.9188896417617798;0.9084809422492981;0.9038860201835632;0.9000924825668335;0.8908655047416687;0.88249272108078;0.8810243606567383;0.873563289642334;0.870810866355896
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1T-3pg1HRM0fHlrpf7GCxZH4dDoQ2zRrgYZf3IobUiQ&s,art;illustration;fall;outdoors;woman;nature;people;painting;light;leaf;adult;one;wear;sunset;image;tree;sun;fair weather;season;gold,0.9713577628135681;0.9701625108718872;0.9658491015434265;0.9571623206138611;0.9506752490997314;0.9403060078620911;0.9401593208312988;0.9349625110626221;0.9234524369239807;0.9185815453529358;0.9071530103683472;0.8712051510810852;0.8709626793861389;0.8659795522689819;0.8626017570495605;0.8505714535713196;0.8454081416130066;0.8385558128356934;0.8152751326560974;0.7979751825332642
https://buffer.com/library/content/images/size/w1200/2023/10/free-images.jpg,outdoors;nature;woman;summer;leisure;girl;lens;people;travel;fair weather;portrait;sun;binoculars;fall;relaxation;fun;park;blur;sunset;sky,0.9867035150527954;0.9853030443191528;0.9831922650337219;0.976895809173584;0.9751625061035156;0.9699054956436157;0.9597039222717285;0.9569083452224731;0.9524384140968323;0.9489925503730774;0.9415750503540039;0.9379212260246277;0.9276199340820312;0.9262505769729614;0.9190874695777893;0.9189351797103882;0.9079810380935669;0.9015539884567261;0.8999518752098083;0.8947949409484863
https://cdn.pixabay.com/photo/2015/04/19/08/32/rose-729509_640.jpg,rose;flower;love;wedding;romance;no person;nature;floral;dew;blooming;petal;leaf;summer;pastel;delicate;color;romantic;bouquet;bud;flora,0.996650755405426;0.9960917830467224;0.9925737380981445;0.9918676018714905;0.9837505221366882;0.9793749451637268;0.9693321585655212;0.9483544826507568;0.9444561004638672;0.9360913038253784;0.9319460988044739;0.9309908151626587;0.9053685665130615;0.8983861804008484;0.8962647914886475;0.8904916048049927;0.8844080567359924;0.8829599022865295;0.8803068995475769;0.8700230121612549
